#qqN	bbN	ttN	x	y	mg
0.7	0.1	0.2	0.2	0.173205	 950
0.7	0.05	0.25	0.175	0.216506	 950
0.75	0.05	0.2	0.15	0.173205	 950
0.3	0.1	0.6	0.4	0.519615	 1000
0.3	0.15	0.55	0.425	0.476314	 1000
0.3	0.4	0.3	0.55	0.259808	 1100
0.35	0.15	0.5	0.4	0.433013	 1000
0.25	0.5	0.25	0.625	0.216506	 1100
0.65	0	0.35	0.175	0.303109	 950
0.6	0.05	0.35	0.225	0.303109	 950
0.35	0.4	0.25	0.525	0.216506	 1050
0.35	0.35	0.3	0.5	0.259808	 1050
0.25	0.45	0.3	0.6	0.259808	 1100
0.3	0.35	0.35	0.525	0.303109	 1050
0.3	0.3	0.4	0.5	0.34641	 1050
0.3	0.25	0.45	0.475	0.389711	 1050
0.4	0	0.6	0.3	0.519615	 950
0.35	0.3	0.35	0.475	0.303109	 1050
0.25	0.35	0.4	0.55	0.34641	 1100
0.8	0.2	0	0.2	0	 1000
0.75	0.2	0.05	0.225	0.0433013	 1000
0.3	0.55	0.15	0.625	0.129904	 1100
0.4	0.2	0.4	0.4	0.34641	 1000
0.75	0.15	0.1	0.2	0.0866025	 1000
0.45	0.15	0.4	0.35	0.34641	 1000
0.5	0.15	0.35	0.325	0.303109	 1000
0.45	0.1	0.45	0.325	0.389711	 1000
0.25	0.7	0.05	0.725	0.0433013	 1150
0.4	0.15	0.45	0.375	0.389711	 1000
0.5	0.1	0.4	0.3	0.34641	 1000
0.7	0.2	0.1	0.25	0.0866025	 1000
0.6	0	0.4	0.2	0.34641	 950
0.5	0.05	0.45	0.275	0.389711	 1000
0.55	0	0.45	0.225	0.389711	 1000
0.45	0.05	0.5	0.3	0.433013	 1000
0.25	0.65	0.1	0.7	0.0866025	 1150
0.7	0.15	0.15	0.225	0.129904	 1000
0.35	0.25	0.4	0.45	0.34641	 1050
0.4	0.1	0.5	0.35	0.433013	 1000
0.25	0.6	0.15	0.675	0.129904	 1150
0.25	0.75	0	0.75	0	 1150
0.6	0.2	0.2	0.3	0.173205	 1000
0.65	0.2	0.15	0.275	0.129904	 1000
0.55	0.2	0.25	0.325	0.216506	 1000
0.65	0.15	0.2	0.25	0.173205	 1000
0.6	0.15	0.25	0.275	0.216506	 1000
0.35	0.2	0.45	0.425	0.389711	 1050
0.65	0.1	0.25	0.225	0.216506	 1000
0.65	0.05	0.3	0.2	0.259808	 1000
0.6	0.1	0.3	0.25	0.259808	 1000
0.55	0.15	0.3	0.3	0.259808	 1000
0.45	0.45	0.1	0.5	0.0866025	 1050
0.3	0.2	0.5	0.45	0.433013	 1050
0.45	0.4	0.15	0.475	0.129904	 1050
0.4	0.45	0.15	0.525	0.129904	 1050
0.55	0.1	0.35	0.275	0.303109	 1000
0.5	0.3	0.2	0.4	0.173205	 1050
0.5	0.35	0.15	0.425	0.129904	 1050
0.45	0.3	0.25	0.425	0.216506	 1050
0.3	0.65	0.05	0.675	0.0433013	 1100
0.5	0.4	0.1	0.45	0.0866025	 1050
0.45	0.25	0.3	0.4	0.259808	 1050
0.65	0.35	0	0.35	0	 1050
0.5	0.25	0.25	0.375	0.216506	 1050
0.45	0.35	0.2	0.45	0.173205	 1050
0.4	0.4	0.2	0.5	0.173205	 1050
0.4	0.3	0.3	0.45	0.259808	 1050
0.75	0.25	0	0.25	0	 1050
0.4	0.35	0.25	0.475	0.216506	 1050
0.3	0.6	0.1	0.65	0.0866025	 1100
0.5	0.2	0.3	0.35	0.259808	 1050
0.4	0.25	0.35	0.425	0.303109	 1050
0.45	0.2	0.35	0.375	0.303109	 1050
0.7	0.3	0	0.3	0	 1050
0.65	0.3	0.05	0.325	0.0433013	 1050
0.7	0.25	0.05	0.275	0.0433013	 1050
0.65	0.25	0.1	0.3	0.0866025	 1050
0.6	0.4	0	0.4	0	 1050
0.6	0.3	0.1	0.35	0.0866025	 1050
0.6	0.35	0.05	0.375	0.0433013	 1050
0.6	0.25	0.15	0.325	0.129904	 1050
0.55	0.35	0.1	0.4	0.0866025	 1050
0.55	0.3	0.15	0.375	0.129904	 1050
0.55	0.25	0.2	0.35	0.173205	 1050
0.45	0.55	0	0.55	0	 1100
0.4	0.6	0	0.6	0	 1100
0.4	0.55	0.05	0.575	0.0433013	 1100
0.5	0.5	0	0.5	0	 1100
0.45	0.5	0.05	0.525	0.0433013	 1100
0.5	0.45	0.05	0.475	0.0433013	 1100
0.4	0.5	0.1	0.55	0.0866025	 1100
0.3	0.7	0	0.7	0	 1150
0.35	0.55	0.1	0.6	0.0866025	 1100
0.35	0.5	0.15	0.575	0.129904	 1100
0.35	0.45	0.2	0.55	0.173205	 1100
0.55	0.4	0.05	0.425	0.0433013	 1050
0.35	0.65	0	0.65	0	 1100
0.35	0.6	0.05	0.625	0.0433013	 1100
0.55	0.45	0	0.45	0	 1100
